Name,Address,Rating,Users Total Ratings,Website,Open Hours,Cuisine Type,Latitude,Longitude
Tortas Food Truck,"311 Sagamore Pkwy N, Lafayette, IN 47905, United States",4.8,51,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,{'open_now': False},"restaurant, point_of_interest, food, establishment",40.419588,-86.85634549999999
Tacos Mexico Food Truck,"3109 South St, Lafayette, IN 47904, United States",4.6,11,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,{},"restaurant, point_of_interest, food, establishment",40.4173621,-86.8614961
Famous Frank's,"30 Pierce St, West Lafayette, IN 47906, United States",4.1,20,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,{'open_now': False},"restaurant, point_of_interest, food, establishment",40.4238396,-86.90906869999999
The Guac Box,"1400 W State St STE K, West Lafayette, IN 47906, United States",4.2,123,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,{'open_now': False},"restaurant, point_of_interest, food, establishment",40.4253384,-86.92936739999999
Grilled Chicken and Rice,"1400 W State St Suite M, West Lafayette, IN 47906, United States",4.7,145,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,{'open_now': False},"restaurant, point_of_interest, food, establishment",40.4254113,-86.92936689999999
Tastes of Chicago,"311 Sagamore Pkwy N, Lafayette, IN 47904, United States",4.0,4,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,{'open_now': False},"restaurant, point_of_interest, food, establishment",40.4188634,-86.857616
Flaming Kuma,"342 E State St, West Lafayette, IN 47906, United States",4.6,32,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,{'open_now': False},"restaurant, point_of_interest, food, establishment",40.4214571,-86.90176939999999
Cravin's To Order,"1812 Northwestern Ave Suite C, West Lafayette, IN 47906, United States",0.0,0,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,{'open_now': False},"meal_takeaway, restaurant, point_of_interest, food, establishment",40.4454966,-86.9202914
Wicked Food Shack,"2070 S 22nd St, Lafayette, IN 47905, United States",4.9,176,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,{'open_now': False},"restaurant, point_of_interest, food, establishment",40.3970926,-86.8713422
Cary Knight Spot Grill,"1016 W Stadium Ave, West Lafayette, IN 47906, United States",3.7,78,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,{'open_now': True},"restaurant, point_of_interest, food, establishment",40.4317648,-86.9170053
Pete's Za at Tarkington,"Tarkington (Newton Booth) Residence Hall, West Lafayette, IN 47906, United States",3.7,83,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,{'open_now': False},"restaurant, point_of_interest, food, establishment",40.4306353,-86.9207307
BBQ District,"Purdue University, PMU 101, Grant St, West Lafayette, IN 47906, United States",5.0,1,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,{'open_now': False},"restaurant, point_of_interest, food, establishment",40.4253311,-86.9115087
McDonald's,"605 W Stadium Ave, West Lafayette, IN 47906, United States",3.3,1388,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,{'open_now': True},"cafe, store, restaurant, point_of_interest, food, establishment",40.431062,-86.91317889999999
AJ's - Burgers · Beef · Beer,"302 Vine St Suite 150, West Lafayette, IN 47906, United States",4.0,478,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,{'open_now': True},"meal_delivery, restaurant, point_of_interest, food, establishment",40.4261022,-86.9079936
The Tick Tock Tavern & Eatery,"1816 N 9th St Rd, Lafayette, IN 47904, United States",4.5,550,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,{'open_now': False},"bar, restaurant, point_of_interest, food, establishment",40.4365822,-86.88709709999999
Chef Bill Kim's,"101 S Grant St, West Lafayette, IN 47906, United States",1.4,16,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,{'open_now': False},"restaurant, point_of_interest, food, establishment",40.4246294,-86.91058360000001
Meet Here,"100 S Chauncey Ave STE 110, West Lafayette, IN 47906, United States",4.0,26,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,{'open_now': False},"restaurant, point_of_interest, food, establishment",40.4229056,-86.9065979
Chaparritos,"1185 Sagamore Pkwy W, West Lafayette, IN 47906, United States",4.5,169,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,{'open_now': False},"restaurant, point_of_interest, food, establishment",40.4529171,-86.9235513
Cravin's To Order,"2610 N 9th St Rd Suite C, Lafayette, IN 47904, United States",1.0,1,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,{'open_now': False},"meal_takeaway, restaurant, point_of_interest, food, establishment",40.4471255,-86.87999880000001
Lovin' Cup Food Truck,"103 N Vermilion St, Danville, IL 61832, United States",4.7,19,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,{'open_now': False},"restaurant, point_of_interest, food, establishment",40.1266701,-87.6297953
